Player;Position;Team
Abrines, Alex;SG;OKC
Acy, Quincy;SF;PHO
Adams, Jaylen;PG;ATL
Adams, Steven;C;OKC
Adebayo, Bam;C;MIA
Adel, Deng;SF;CLE
Aldridge, LaMarcus;PF;SAS
Alkins, Rawle;SG;CHI
Allen, Grayson;SG;UTH
Allen, Jarrett;C;BKN
Allen, Kadeem;SG;NYK
Aminu, Al-Farouq;PF;POR
Anderson, Justin;SG;ATL
Anderson, Kyle;SF;MEM
Anderson, Ryan;PF;PHO
Anigbogu, Ike;C;IND
Antetokounmpo, Giannis;PF;MIL
Antetokounmpo, Kostas;PF;DAL
Anthony, Carmelo;SF;CHI
Anunoby, OG;SF;TOR
Arcidiacono, Ryan;PG;CHI
Ariza, Trevor;SG;WAS
Augustin, D.J.;PG;ORL
Ayton, Deandre;C;PHO
Bacon, Dwayne;SG;CHA
Bagley III, Marvin;PF;SAC
Baldwin IV, Wade;PG;POR
Ball, Lonzo;PG;LAL
Bamba, Mo;C;ORL
Barea, J.J.;PG;DAL
Barnes, Harrison;SF;DAL
Barton, Will;SG;DEN
Bates-Diop, Keita;SF;MIN
Batum, Nicolas;SF;CHA
Bayless, Jerryd;PG;MIN
Baynes, Aron;C;BOS
Bazemore, Kent;SG;ATL
Beal, Bradley;SG;WAS
Beasley, Malik;SG;DEN
Beasley, Michael;PF;LAL
Belinelli, Marco;SG;SAS
Bell, Jordan;PF;GSW
Bembry, DeAndre';SF;ATL
Bender, Dragan;PF;PHO
Bertans, Davis;SF;SAS
Beverley, Patrick;PG;LAC
Birch, Khem;C;ORL
Bird, Jabari;SG;BOS
Biyombo, Bismack;C;CHA
Bjelica, Nemanja;PF;SAC
Blakeney, Antonio;SG;CHI
Bledsoe, Eric;PG;MIL
Blossomgame, Jaron;SF;CLE
Bluiett, Trevon;SG;NOR
Bogdanovic, Bogdan;SG;SAC
Bogdanovic, Bojan;SF;IND
Bolden, Jonah;PF;PHI
Bonga, Isaac;PG;LAL
Booker, Devin;SG;PHO
Boucher, Chris;PF;TOR
Bradley, Avery;SG;LAC
Bradley, Tony;C;UTH
Brewer, Corey;SF;PHI
Bridges, Mikal;SF;PHO
Bridges, Miles;SF;CHA
Briscoe, Isaiah;PG;ORL
Broekhoff, Ryan;SG;DAL
Brogdon, Malcolm;PG;MIL
Brooks, Dillon;SG;MEM
Brown Jr., Troy;SF;WAS
Brown, Bruce;SG;DET
Brown, Jaylen;SG;BOS
Brown, Sterling;SG;MIL
Brunson, Jalen;PG;DAL
Bryant, Thomas;C;WAS
Bullock, Reggie;SG;DET
Burke, Trey;PG;NYK
Burks, Alec;SG;CLE
Burton, Deonte;SG;OKC
Butler, Jimmy;SG;PHI
Caboclo, Bruno;SF;MEM
Calderon, Jose;PG;DET
Caldwell-Pope, Kentavious;SG;LAL
Capela, Clint;C;HOU
Carroll, DeMarre;SF;BKN
Carter Jr., Wendell;C;CHI
Carter, Jevon;PG;MEM
Carter, Vince;SG;ATL
Caruso, Alex;SG;LAL
Casspi, Omri;SF;MEM
Cauley-Stein, Willie;C;SAC
Caupain, Troy;PG;ORL
Cavanaugh, Tyler;PF;UTH
Chandler, Tyson;C;LAL
Chandler, Wilson;SF;PHI
Chealey, Joe;PG;CHA
Chriss, Marquese;PF;HOU
Clark, Gary;PF;HOU
Clark, Ian;SG;NOR
Clarkson, Jordan;PG;CLE
Collins, John;PF;ATL
Collins, Zach;PF;POR
Collison, Darren;PG;IND
Colson, Bonzie;PF;MIL
Conley, Mike;PG;MEM
Connaughton, Pat;SG;MIL
Cook, Quinn;PG;GSW
Cousins, DeMarcus;C;GSW
Covington, Robert;SF;MIN
Crabbe, Allen;SG;BKN
Craig, Torrey;SF;DEN
Crawford, Jamal;SG;PHO
Creek, Mitch;SF;BKN
Crowder, Jae;PF;UTH
Cunningham, Dante;SF;SAS
Curry, Seth;SG;POR
Curry, Stephen;PG;GSW
Daniels, Troy;SG;PHO
Davis, Anthony;PF;NOR
Davis, Ed;PF;BKN
DeRozan, DeMar;SG;SAS
Dedmon, DeWayne;C;ATL
Dekker, Sam;SF;WAS
Delgado, Angel;C;LAC
Dellavedova, Matthew;PG;CLE
Deng, Luol;SF;MIN
Derrickson, Marcus;SF;GSW
DiVincenzo, Donte;SG;MIL
Diallo, Cheick;PF;NOR
Diallo, Hamidou;SG;OKC
Dieng, Gorgui;C;MIN
Dinwiddie, Spencer;PG;BKN
Doncic, Luka;SF;DAL
Dorsey, Tyler;SG;ATL
Dotson, Damyean;SG;NYK
Dozier, PJ;PG;BOS
Dragic, Goran;PG;MIA
Drummond, Andre;C;DET
Dudley, Jared;SF;BKN
Dunn, Kris;PG;CHI
Durant, Kevin;SF;GSW
Duval, Trevon;PG;MIL
Edwards, Vincent;SF;HOU
Ellenson, Henry;PF;DET
Ellington, Wayne;SG;MIA
Embiid, Joel;C;PHI
Ennis III, James;SF;HOU
Eubanks, Drew;PF;SAS
Evans, Jacob;SG;GSW
Evans, Jawun;PG;PHO
Evans, Tyreke;PG;IND
Exum, Dante;PG;UTH
Yabusele, Guerschon;PF;BOS
Young, Thaddeus;SF;IND
Young, Trae;PG;ATL
Zeller, Cody;C;CHA
Zizic, Ante;C;CLE
Zubac, Ivica;C;LAL
Mack, Shelvin;PG;MEM
Macon, Daryl;SG;DAL
Macura, J.P.;SG;CHA
Mahinmi, Ian;C;WAS
Maker, Thon;PF;MIL
Marjanovic, Boban;C;LAC
Markkanen, Lauri;PF;CHI
Martin, Jarell;PF;ORL
Mason III, Frank;PG;SAC
Maten, Yante;PF;MIA
Matthews, Wesley;SG;DAL
Mbah a Moute, Luc;SF;LAC
McCaw, Patrick;SG;TOR
McCollum, CJ;SG;POR
McConnell, T.J.;PG;PHI
McDermott, Doug;SF;IND
McGee, JaVale;C;LAL
McGruder, Rodney;SF;MIA
McKinnie, Alfonzo;SF;GSW
McLemore, Ben;SG;SAC
McRae, Jordan;SG;WAS
Mejri, Salah;C;DAL
Melton, De'Anthony;PG;PHO
Metu, Chimezie;PF;SAS
Middleton, Khris;SF;MIL
Miles, C.J.;SF;TOR
Miller, Darius;SF;NOR
Mills, Patty;PG;SAS
Millsap, Paul;PF;DEN
Milton, Shake;SG;PHI
Mirotic, Nikola;PF;NOR
Mitchell, Donovan;SG;UTH
Mitrou-Long, Naz;SG;UTH
Monk, Malik;SG;CHA
Monroe, Greg;C;TOR
Moore, Ben;PF;SAS
Moore, E'Twaun;SG;NOR
Morris, Jaylen;SG;MIL
Morris, Marcus;PF;BOS
Morris, Markieff;PF;WAS
Morris, Monte;PG;DEN
Motley, Johnathan;PF;LAC
Mozgov, Timofey;C;ORL
Mudiay, Emmanuel;PG;NYK
Murray, Dejounte;PG;SAS
Murray, Jamal;PG;DEN
Musa, Dzanan;SG;BKN
Muscala, Mike;PF;PHI
Mykhailiuk, Svi;SG;LAL
Faried, Kenneth;PF;HOU
Favors, Derrick;PF;UTH
Felicio, Cristiano;PF;CHI
Felton, Raymond;PG;OKC
Ferguson, Terrance;SG;OKC
Ferrell, Yogi;PG;SAC
Finney-Smith, Dorian;SF;DAL
Forbes, Bryn;SG;SAS
Fournier, Evan;SG;ORL
Fox, De'Aaron;PG;SAC
Frazier, Melvin;SG;ORL
Frazier, Tim;PG;NOR
Frye, Channing;C;CLE
Fultz, Markelle;PG;PHI
Gabriel, Wenyen;SF;SAC
Gallinari, Danilo;SF;LAC
Galloway, Langston;SG;DET
Gasol, Marc;C;MEM
Gasol, Pau;PF;SAS
Gay, Rudy;SF;SAS
George, Paul;SF;OKC
Gibson, Taj;PF;MIN
Giles, Harry;PF;SAC
Gilgeous-Alexander, Shai;PG;LAC
Gobert, Rudy;C;UTH
Goodwin, Brandon;PG;DEN
Gordon, Aaron;PF;ORL
Gordon, Eric;SG;HOU
Gortat, Marcin;PF;LAC
Graham, Devonte';PG;CHA
Graham, Treveon;SG;BKN
Grant, Jerami;SF;OKC
Grant, Jerian;PG;ORL
Grantham, Donte;SF;OKC
Green, Danny;SF;TOR
Green, Draymond;PF;GSW
Green, Gerald;SG;HOU
Green, JaMychal;PF;MEM
Green, Jeff;PF;WAS
Griffin, Blake;PF;DET
Hamilton, Daniel;SG;ATL
Hardaway Jr., Tim;SG;NYK
Harden, James;SG;HOU
Harkless, Maurice;SF;POR
Harrell, Montrezl;PF;LAC
Harris, Devin;PG;DAL
Harris, Gary;SG;DEN
Harris, Joe;SF;BKN
Harris, Tobias;SF;LAC
Harrison, Shaquille;PG;CHI
Hart, Josh;SG;LAL
Hartenstein, Isaiah;PF;HOU
Haslem, Udonis;PF;MIA
Hayward, Gordon;SF;BOS
Henson, John;SF;CLE
Hernangomez, Juancho;PF;DEN
Hernangomez, Willy;C;CHA
Hezonja, Mario;SF;NYK
Hicks, Isaiah;PF;NYK
Hicks, Stephan;SG;IND
Hield, Buddy;SG;SAC
Highsmith, Haywood;SF;PHI
Hill, George;PG;MIL
Hill, Solomon;SF;NOR
Holiday, Aaron;PG;IND
Holiday, Jrue;PG;NOR
Holiday, Justin;SF;MEM
Hollis-Jefferson, Rondae;SF;BKN
Holmes, Richaun;PF;PHO
Hood, Rodney;SG;CLE
Horford, Al;C;BOS
House Jr., Danuel;SF;HOU
Howard, Dwight;C;WAS
Huerter, Kevin;SG;ATL
Hutchison, Chandler;SF;CHI
Ibaka, Serge;PF;TOR
Iguodala, Andre;SG;GSW
Ilyasova, Ersan;SF;MIL
Ingles, Joe;SF;UTH
Ingram, Brandon;SF;LAL
Irving, Kyrie;PG;BOS
Isaac, Jonathan;PF;ORL
Iwundu, Wesley;SF;ORL
Jackson Jr., Jaren;PF;MEM
Jackson, Frank;PG;NOR
Jackson, Josh;SF;PHO
Jackson, Justin;SF;SAC
Jackson, Reggie;PG;DET
James, LeBron;SF;LAL
Jefferson, Amile;PF;ORL
Jerebko, Jonas;SF;GSW
Johnson, Alize;PF;IND
Johnson, Amir;SF;PHI
Johnson, James;PF;MIA
Johnson, Stanley;SF;DET
Johnson, Tyler;SG;MIA
Johnson, Wesley;SF;NOR
Jokic, Nikola;C;DEN
Jones Jr., Derrick;SF;MIA
Jones, Damian;C;GSW
Jones, Tyus;PG;MIN
Jordan, DeAndre;C;DAL
Joseph, Cory;PG;IND
Kaminsky, Frank;PF;CHA
Kanter, Enes;C;NYK
Kennard, Luke;SG;DET
Kidd-Gilchrist, Michael;SF;CHA
King, George;SF;PHO
Kleber, Maxi;PF;DAL
Knight, Brandon;PG;HOU
Knox, Kevin;SF;NYK
Korkmaz, Furkan;SG;PHI
Kornet, Luke;PF;NYK
Korver, Kyle;SG;UTH
Koufos, Kosta;C;SAC
Kurucs, Rodions;SF;BKN
